date,open,high,low,close,volume
2021-10-21,15365.8096,15497.5801,15350.5,15489.5898,4961860000
2021-10-22,15422.0703,15474.2803,15291.9502,15355.0703,5775770000
2021-10-25,15417.25,15555.6504,15338.4902,15514.1904,5750200000
2021-10-26,15615.3604,15710.79,15518.5898,15559.4902,7173230000
2021-10-27,15603.1602,15729.75,15578.6797,15598.3896,6130110000
2021-10-28,15674.3896,15784.0,15650.0098,15778.1602,5714890000
2021-10-29,15638.7402,15856.9004,15638.7402,15850.4697,5338290000
2021-11-01,15879.6104,15910.3496,15785.3096,15905.2803,5273950000
2021-11-02,15885.3398,15988.3301,15877.2695,15972.4902,5129370000
2021-11-03,16000.5996,16157.5996,15950.5898,16144.5,5325110000
2021-11-04,16193.2197,16387.9492,16169.5596,16346.2402,5297250000
2021-11-05,16397.5898,16454.4805,16302.0596,16359.3799,5566400000
2021-11-08,16351.4902,16401.9297,16314.0,16336.0303,5723650000
2021-11-09,16389.9902,16401.8906,16168.6299,16219.9404,5574660000
2021-11-10,16087.0195,16224.5098,15905.2803,15985.5703,5369110000
2021-11-11,16114.0498,16116.25,16019.3896,16032.4697,4570460000
2021-11-12,16078.1299,16218.5498,16012.7803,16199.8896,5446540000
2021-11-15,16227.0098,16256.7305,16096.3701,16189.1201,5020180000
2021-11-16,16170.29,16329.5,16156.6904,16309.7695,5533020000
2021-11-17,16329.0703,16398.9492,16276.7695,16308.0703,5049320000
2021-11-18,16398.7598,16501.9199,16309.5098,16482.9707,5391360000
2021-11-19,16558.5605,16625.8594,16523.8301,16573.3398,4875310000
2021-11-22,16644.7695,16764.8594,16374.7803,16380.9805,5567830000
2021-11-23,16330.1797,16417.5,16121.7002,16306.7197,5434380000
2021-11-24,16202.2598,16370.5596,16106.0195,16367.8096,4197090000
2021-11-26,16237.4102,16302.5801,15988.9502,16025.5801,3502170000
2021-11-29,16263.4297,16437.1602,16214.5596,16399.2402,4836230000
2021-11-30,16333.9502,16454.5605,16073.7598,16135.9199,6631470000
2021-12-01,16347.96,16427.1895,15864.0,15877.7197,6320260000
2021-12-02,15791.2998,16066.3203,15770.9199,15990.7598,5418340000
2021-12-03,16039.4102,16089.6104,15543.3096,15712.04,5900290000
2021-12-06,15744.9102,15898.5898,15557.7803,15846.1602,5115230000
2021-12-07,16139.5596,16343.6699,16128.4404,16325.6602,5116490000
2021-12-08,16313.8799,16401.0996,16250.3896,16394.3398,4615390000
2021-12-09,16337.8096,16413.2793,16141.3896,16149.5703,4515600000
2021-12-10,16278.2998,16339.1201,16139.0,16331.9805,4426210000
2021-12-13,16317.9004,16332.6299,16075.54,16082.5498,4573920000
